position COMBINED_rate(cM/Mb) Genetic_Map(cM)
110257 0.5249098918 0.0274703937909736
220494 1.3212118746 0.154909785084374
1093513 1.4564966604 1.56690980232779
1153659 0.4898094741 1.74949902674276
1515223 0.0415499157 2.57260168264302
2066442 0.3934050469 3.76091378330922
2347409 0.2001561676 4.37757242907914
2748389 48.1706607441 5.89908788877865
2858572 4.6490144724 6.41040553011971
2918690 1.2173265999 6.99676913060359
3429941 0.7132818746 9.38876663288851
3660674 1.8699588934 10.1098881514304
3670733 1.5923577559 10.1183520703248
3770922 0.0913606945 10.4452727071364
3780926 1.4811452819 10.449836818282
3891187 0.5380103052 10.7350481488917
4041557 0.6953785482 10.845307700623
4181750 0.1457431171 11.1745974339541
4231861 0.0016846495 11.1776666107061
4261950 0.7709098711 11.1875651905373
4402430 0.4717995881 11.3312950986573
4462544 0.7821687527 11.4639253147976
4693087 1.4779692216 12.3549745252436
4713162 2.4977715085 12.524904003549
5507743 0.639434155 15.3688454791636
5507957 0.7737743585 15.3690110668763
5508001 0.8823890706 15.3690498919955
5508023 1.0047503141 15.3690719965024
5508530 1.0013179661 15.3695796647112
5508618 1.001760623 15.369667819646
5508857 1.0040590178 15.3699077897513
5509047 1.0074434061 15.3700992039984
5509342 1.0101464786 15.3703971972096
5510129 1.0102214766 15.3711922415117
5510867 1.0191421158 15.3719443683931
5511075 1.5284871775 15.3722622937261
5511101 2.3527907372 15.3723234662852
5511734 2.0443615035 15.3736175471169
5511975 1.0331984947 15.3738665479542
5512154 1.0184470216 15.374048849971
5512581 1.0183348742 15.3744836789623
5512635 1.026037494 15.374539084987
5512860 1.0233073318 15.3747693291367
5512977 1.0013096517 15.3748864823659
5513137 1.0013096517 15.3750466919102
5513486 0.9946148685 15.3753938124993
5513553 0.9901644795 15.3754601535194
5513866 0.9888564456 15.3757696655869
5514022 0.9860275527 15.3759234858851
5515720 0.9860285976 15.3775977624438
5515732 1.0925379112 15.3776108728988
5515770 1.0925379112 15.3776523893394
5515986 1.1189765022 15.3778940882639
5516021 1.1308252134 15.3779336671463
5516098 1.1357790924 15.3780211221364
